2025-09-19 13:57:32 status installed libjansson4:amd64 2.14-2
2025-09-19 13:57:32 configure dns-root-data:all 2024071801~deb12u1 <none>
2025-09-19 13:57:32 status unpacked dns-root-data:all 2024071801~deb12u1
2025-09-19 13:57:32 status half-configured dns-root-data:all 2024071801~deb12u1
2025-09-19 13:57:32 status installed dns-root-data:all 2024071801~deb12u1
2025-09-19 13:57:32 configure perl-modules-5.36:all 5.36.0-7+deb12u3 <none>
2025-09-19 13:57:32 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u3
2025-09-19 13:57:32 status half-configured perl-modules-5.36:all 5.36.0-7+deb12u3
2025-09-19 13:57:32 status installed perl-modules-5.36:all 5.36.0-7+deb12u3
2025-09-19 13:57:32 configure libdbus-1-3:amd64 1.14.10-1~deb12u1 <none>
2025-09-19 13:57:32 status unpacked libdbus-1-3:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:32 status half-configured libdbus-1-3:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:32 status installed libdbus-1-3:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:32 configure libmnl0:amd64 1.0.4-3 <none>
2025-09-19 13:57:32 status unpacked libmnl0:amd64 1.0.4-3
2025-09-19 13:57:32 status half-configured libmnl0:amd64 1.0.4-3
2025-09-19 13:57:32 status installed libmnl0:amd64 1.0.4-3
2025-09-19 13:57:32 configure libxtables12:amd64 1.8.9-2 <none>
2025-09-19 13:57:32 status unpacked libxtables12:amd64 1.8.9-2
2025-09-19 13:57:32 status half-configured libxtables12:amd64 1.8.9-2
2025-09-19 13:57:32 status installed libxtables12:amd64 1.8.9-2
2025-09-19 13:57:32 configure libnfnetlink0:amd64 1.0.2-2 <none>
2025-09-19 13:57:32 status unpacked libnfnetlink0:amd64 1.0.2-2
2025-09-19 13:57:32 status half-configured libnfnetlink0:amd64 1.0.2-2
2025-09-19 13:57:32 status installed libnfnetlink0:amd64 1.0.2-2
2025-09-19 13:57:32 configure dbus-session-bus-common:all 1.14.10-1~deb12u1 <none>
2025-09-19 13:57:32 status unpacked dbus-session-bus-common:all 1.14.10-1~deb12u1
2025-09-19 13:57:32 status half-configured dbus-session-bus-common:all 1.14.10-1~deb12u1
2025-09-19 13:57:32 status installed dbus-session-bus-common:all 1.14.10-1~deb12u1
2025-09-19 13:57:32 configure netbase:all 6.4 <none>
2025-09-19 13:57:32 status unpacked netbase:all 6.4
2025-09-19 13:57:32 status half-configured netbase:all 6.4
2025-09-19 13:57:32 status installed netbase:all 6.4
2025-09-19 13:57:32 configure dbus-system-bus-common:all 1.14.10-1~deb12u1 <none>
2025-09-19 13:57:32 status unpacked dbus-system-bus-common:all 1.14.10-1~deb12u1
2025-09-19 13:57:32 status half-configured dbus-system-bus-common:all 1.14.10-1~deb12u1
2025-09-19 13:57:33 status installed dbus-system-bus-common:all 1.14.10-1~deb12u1
2025-09-19 13:57:33 configure openssl:amd64 3.0.17-1~deb12u2 <none>
2025-09-19 13:57:33 status unpacked openssl:amd64 3.0.17-1~deb12u2
2025-09-19 13:57:33 status half-configured openssl:amd64 3.0.17-1~deb12u2
2025-09-19 13:57:33 status installed openssl:amd64 3.0.17-1~deb12u2
2025-09-19 13:57:33 configure dbus-bin:amd64 1.14.10-1~deb12u1 <none>
2025-09-19 13:57:33 status unpacked dbus-bin:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:33 status half-configured dbus-bin:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:33 status installed dbus-bin:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:33 configure libgdbm6:amd64 1.23-3 <none>
2025-09-19 13:57:33 status unpacked libgdbm6:amd64 1.23-3
2025-09-19 13:57:33 status half-configured libgdbm6:amd64 1.23-3
2025-09-19 13:57:33 status installed libgdbm6:amd64 1.23-3
2025-09-19 13:57:33 configure libnftnl11:amd64 1.2.4-2 <none>
2025-09-19 13:57:33 status unpacked libnftnl11:amd64 1.2.4-2
2025-09-19 13:57:33 status half-configured libnftnl11:amd64 1.2.4-2
2025-09-19 13:57:33 status installed libnftnl11:amd64 1.2.4-2
2025-09-19 13:57:33 configure dbus-daemon:amd64 1.14.10-1~deb12u1 <none>
2025-09-19 13:57:33 status unpacked dbus-daemon:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:33 status half-configured dbus-daemon:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:33 status installed dbus-daemon:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:33 configure ca-certificates:all 20230311+deb12u1 <none>
2025-09-19 13:57:33 status unpacked ca-certificates:all 20230311+deb12u1
2025-09-19 13:57:33 status half-configured ca-certificates:all 20230311+deb12u1
2025-09-19 13:57:34 status installed ca-certificates:all 20230311+deb12u1
2025-09-19 13:57:34 status triggers-pending ca-certificates:all 20230311+deb12u1
2025-09-19 13:57:34 configure libpcap0.8:amd64 1.10.3-1 <none>
2025-09-19 13:57:34 status unpacked libpcap0.8:amd64 1.10.3-1
2025-09-19 13:57:34 status half-configured libpcap0.8:amd64 1.10.3-1
2025-09-19 13:57:34 status installed libpcap0.8:amd64 1.10.3-1
2025-09-19 13:57:34 configure dbus:amd64 1.14.10-1~deb12u1 <none>
2025-09-19 13:57:34 status unpacked dbus:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:34 status half-configured dbus:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:34 status installed dbus:amd64 1.14.10-1~deb12u1
2025-09-19 13:57:34 configure libgdbm-compat4:amd64 1.23-3 <none>
2025-09-19 13:57:34 status unpacked libgdbm-compat4:amd64 1.23-3
2025-09-19 13:57:34 status half-configured libgdbm-compat4:amd64 1.23-3
2025-09-19 13:57:34 status installed libgdbm-compat4:amd64 1.23-3
2025-09-19 13:57:34 configure libnetfilter-conntrack3:amd64 1.0.9-3 <none>
2025-09-19 13:57:34 status unpacked libnetfilter-conntrack3:amd64 1.0.9-3
2025-09-19 13:57:34 status half-configured libnetfilter-conntrack3:amd64 1.0.9-3
2025-09-19 13:57:34 status installed libnetfilter-conntrack3:amd64 1.0.9-3
2025-09-19 13:57:34 configure libperl5.36:amd64 5.36.0-7+deb12u3 <none>
2025-09-19 13:57:34 status unpacked libperl5.36:amd64 5.36.0-7+deb12u3
2025-09-19 13:57:34 status half-configured libperl5.36:amd64 5.36.0-7+deb12u3
2025-09-19 13:57:34 status installed libperl5.36:amd64 5.36.0-7+deb12u3
2025-09-19 13:57:34 configure arp-scan:amd64 1.10.0-2 <none>
2025-09-19 13:57:34 status unpacked arp-scan:amd64 1.10.0-2
2025-09-19 13:57:34 status half-configured arp-scan:amd64 1.10.0-2
2025-09-19 13:57:34 status installed arp-scan:amd64 1.10.0-2
2025-09-19 13:57:34 configure libnftables1:amd64 1.0.6-2+deb12u2 <none>
2025-09-19 13:57:34 status unpacked libnftables1:amd64 1.0.6-2+deb12u2
2025-09-19 13:57:34 status half-configured libnftables1:amd64 1.0.6-2+deb12u2
2025-09-19 13:57:34 status installed libnftables1:amd64 1.0.6-2+deb12u2
2025-09-19 13:57:34 configure dnsmasq-base:amd64 2.90-4~deb12u1 <none>
2025-09-19 13:57:34 status unpacked dnsmasq-base:amd64 2.90-4~deb12u1
2025-09-19 13:57:34 status half-configured dnsmasq-base:amd64 2.90-4~deb12u1
2025-09-19 13:57:34 status installed dnsmasq-base:amd64 2.90-4~deb12u1
2025-09-19 13:57:34 configure dnsmasq:all 2.90-4~deb12u1 <none>
